model,layer_name,layer_key,shape,numel,official_threshold_2048_backend,valid_full_cuda_backend,fallback_reason_official,guard_status,dtype_ok,contiguous_ok,shape_supported,state_owner_stable,q8_supported,rel_l2_contribution,payload_bytes,estimated_time_ms
resnet50,layer3.2.bn3.weight,layer3.2.bn3.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000010145,1024,0.344471
resnet50,layer3.2.bn3.bias,layer3.2.bn3.bias|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000010446,1024,0.344471
resnet50,layer3.3.conv1.weight,layer3.3.conv1.weight|torch.float32|256x1024x1x1,256x1024x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001941926,262144,0.124994
resnet50,layer3.3.bn1.weight,layer3.3.bn1.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003915,256,0.086118
resnet50,layer3.3.bn1.bias,layer3.3.bn1.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000004879,256,0.086118
resnet50,layer3.3.conv2.weight,layer3.3.conv2.weight|torch.float32|256x256x3x3,256x256x3x3,589824,cuda,cuda,,pass,True,True,True,True,True,0.002985347,589824,0.281237
resnet50,layer3.3.bn2.weight,layer3.3.bn2.weight|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003461,256,0.086118
resnet50,layer3.3.bn2.bias,layer3.3.bn2.bias|torch.float32|256,256,256,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000003670,256,0.086118
resnet50,layer3.3.conv3.weight,layer3.3.conv3.weight|torch.float32|1024x256x1x1,1024x256x1x1,262144,cuda,cuda,,pass,True,True,True,True,True,0.001913588,262144,0.124994
resnet50,layer3.3.bn3.weight,layer3.3.bn3.weight|torch.float32|1024,1024,1024,cpu_batch,cuda,numel_below_threshold,pass,True,True,True,True,True,0.000008508,1024,0.344471
