model,threshold,sample_index,layer_name,layer_key,shape,numel,nbytes,fallback_reason,estimated_encode_ms,estimated_decode_ms
resnet50,16384,2,bn1.running_mean,bn1.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,bn1.running_var,bn1.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.0.bn1.running_mean,layer1.0.bn1.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.0.bn1.running_var,layer1.0.bn1.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.0.bn2.running_mean,layer1.0.bn2.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.0.bn2.running_var,layer1.0.bn2.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.0.bn3.running_mean,layer1.0.bn3.running_mean|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.0.bn3.running_var,layer1.0.bn3.running_var|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.0.shortcut.1.running_mean,layer1.0.shortcut.1.running_mean|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.0.shortcut.1.running_var,layer1.0.shortcut.1.running_var|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.1.bn1.running_mean,layer1.1.bn1.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.1.bn1.running_var,layer1.1.bn1.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.1.bn2.running_mean,layer1.1.bn2.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.1.bn2.running_var,layer1.1.bn2.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.1.bn3.running_mean,layer1.1.bn3.running_mean|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.1.bn3.running_var,layer1.1.bn3.running_var|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.2.bn1.running_mean,layer1.2.bn1.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.2.bn1.running_var,layer1.2.bn1.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.2.bn2.running_mean,layer1.2.bn2.running_mean|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.2.bn2.running_var,layer1.2.bn2.running_var|torch.float32|64,64,64,256,below_cuda_min_numel_or_gate,0.007701,0.005893
resnet50,16384,2,layer1.2.bn3.running_mean,layer1.2.bn3.running_mean|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer1.2.bn3.running_var,layer1.2.bn3.running_var|torch.float32|256,256,256,1024,below_cuda_min_numel_or_gate,0.030804,0.023573
resnet50,16384,2,layer2.0.bn1.running_mean,layer2.0.bn1.running_mean|torch.float32|128,128,128,512,below_cuda_min_numel_or_gate,0.015402,0.011787
resnet50,16384,2,layer2.0.bn1.running_var,layer2.0.bn1.running_var|torch.float32|128,128,128,512,below_cuda_min_numel_or_gate,0.015402,0.011787
resnet50,16384,2,layer2.0.bn2.running_mean,layer2.0.bn2.running_mean|torch.float32|128,128,128,512,below_cuda_min_numel_or_gate,0.015402,0.011787
resnet50,16384,2,layer2.0.bn2.running_var,layer2.0.bn2.running_var|torch.float32|128,128,128,512,below_cuda_min_numel_or_gate,0.015402,0.011787
resnet50,16384,2,layer2.0.bn3.running_mean,layer2.0.bn3.running_mean|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer2.0.bn3.running_var,layer2.0.bn3.running_var|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer2.0.shortcut.1.running_mean,layer2.0.shortcut.1.running_mean|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer2.0.shortcut.1.running_var,layer2.0.shortcut.1.running_var|torch.float32|512,512,512,2048,below_cuda_min_numel_or_gate,0.061607,0.047147
resnet50,16384,2,layer2.1.bn1.running_mean,layer2.1.bn1.running_mean|torch.float32|128,128,128,512,below_cuda_min_numel_or_gate,0.015402,0.011787
