payload_mb,direction,host_buffer_kind,allocation_policy,copy_api,sync_location,repeat_index,wall_ms,cuda_event_ms,gb_per_s_wall,gb_per_s_event,status
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,12,0.699949,0.687072,11.161535,11.370715,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,13,0.698873,0.685888,11.178715,11.390344,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,14,0.698552,0.686080,11.183856,11.387156,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,15,0.702131,0.686624,11.126847,11.378134,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,16,0.699887,0.687040,11.162515,11.371245,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,17,0.700800,0.687488,11.147978,11.363834,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,18,0.698593,0.685984,11.183200,11.388749,ok
8,h2d,pinned,reused,torch.Tensor.copy_,cuda_event_end_synchronize,19,0.698254,0.685472,11.188615,11.397256,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,2.570540,2.554496,6.078490,6.116666,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,3.564871,3.549920,4.383048,4.401508,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,3.521109,3.506784,4.437522,4.455649,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,3.516024,3.502080,4.443940,4.461634,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,3.518498,3.504896,4.440816,4.458050,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,3.527713,3.514144,4.429215,4.446318,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,3.518458,3.504416,4.440865,4.458660,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,3.554899,3.541248,4.395343,4.412286,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,3.526036,3.512064,4.431322,4.448951,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,3.512405,3.498464,4.448519,4.466246,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,3.556162,3.541568,4.393782,4.411888,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,3.517495,3.503904,4.442081,4.459312,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,3.507752,3.493632,4.454420,4.472423,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,3.517326,3.502720,4.442295,4.460819,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,3.519797,3.505632,4.439177,4.457114,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,3.524932,3.510784,4.432710,4.450573,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,3.516774,3.502496,4.442993,4.461104,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,3.534376,3.519648,4.420866,4.439364,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,3.520051,3.505536,4.438856,4.457236,ok
16,d2h,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,3.572580,3.558304,4.373589,4.391137,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,2.374471,2.360576,6.580413,6.619147,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,2.405223,2.391040,6.496280,6.534813,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,2.094868,2.081216,7.458705,7.507630,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,3,2.501037,2.487456,6.247409,6.281518,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,4,2.003770,1.989536,7.797800,7.853590,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,5,2.247452,2.233824,6.952318,6.994732,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,6,1.926471,1.912224,8.110683,8.171114,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,7,2.233339,2.219648,6.996252,7.039405,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,8,1.910260,1.896480,8.179515,8.238948,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,9,2.105723,2.091808,7.420254,7.469615,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,10,1.906962,1.892768,8.193660,8.255106,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,11,2.136083,2.122496,7.314790,7.361616,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,12,1.915541,1.901440,8.156966,8.217456,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,13,2.083812,2.069952,7.498278,7.548484,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,14,1.870878,1.856736,8.351694,8.415305,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,15,2.123869,2.109920,7.356857,7.405494,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,16,1.927658,1.913856,8.105691,8.164146,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,17,2.075973,2.062336,7.526591,7.576360,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,18,1.887170,1.872800,8.279595,8.343123,ok
16,h2d,pageable,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,19,2.059303,2.043424,7.587518,7.646480,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,0,1.304123,1.289184,11.981235,12.120070,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,1,1.296756,1.283200,12.049300,12.176590,ok
16,d2h,pinned,new_each_time,torch.Tensor.copy_,cuda_event_end_synchronize,2,1.301224,1.287392,12.007922,12.136940,ok
