model,threshold,repeat_index,payload_bytes,python_wrapper_dumps_ms,cpp_envelope_pack_ms,python_wrapper_loads_ms,cpp_envelope_parse_ms,object_rebuild_ms,tensor_materialization_ms,notes
resnet50,262144,83,24147936,9.406405,0.000000,9.942390,0.000000,9.919463,9.919463,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,84,24147936,10.156379,0.000000,10.131863,0.000000,10.110065,10.110065,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,85,24147936,9.359493,0.000000,9.966242,0.000000,9.943529,9.943529,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,86,24147936,10.159764,0.000000,10.118581,0.000000,10.098216,10.098216,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,87,24147936,9.401798,0.000000,9.985923,0.000000,9.965441,9.965441,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,88,24147936,10.183371,0.000000,10.112627,0.000000,10.089851,10.089851,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,89,24147936,9.428259,0.000000,9.998242,0.000000,9.978051,9.978051,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,90,24147936,10.240585,0.000000,10.102198,0.000000,10.080158,10.080158,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,91,24147936,9.361514,0.000000,9.913074,0.000000,9.890092,9.890092,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,92,24147936,10.159791,0.000000,10.168453,0.000000,10.145208,10.145208,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,93,24147936,9.418140,0.000000,9.989364,0.000000,9.963613,9.963613,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,94,24147936,10.230763,0.000000,10.111202,0.000000,10.089153,10.089153,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,95,24147936,9.412737,0.000000,9.964714,0.000000,9.943482,9.943482,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,96,24147936,10.229597,0.000000,10.103271,0.000000,10.083214,10.083214,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,97,24147936,9.411861,0.000000,9.967876,0.000000,9.946744,9.946744,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,98,24147936,10.226446,0.000000,10.111093,0.000000,10.091560,10.091560,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,262144,99,24147936,9.399986,0.000000,9.986651,0.000000,9.964923,9.964923,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,0,24013187,10.055194,0.000000,9.825444,0.000000,9.795554,9.795554,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,1,24013187,10.151137,0.000000,10.169618,0.000000,10.141039,10.141039,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,2,24013187,9.759448,0.000000,10.101910,0.000000,10.075303,10.075303,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,3,24013187,10.424523,0.000000,9.790177,0.000000,9.763697,9.763697,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,4,24013187,10.057908,0.000000,9.961632,0.000000,9.936837,9.936837,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,5,24013187,9.694380,0.000000,10.087991,0.000000,10.063551,10.063551,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,6,24013187,9.794446,0.000000,9.782176,0.000000,9.759336,9.759336,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,7,24013187,10.049234,0.000000,9.907214,0.000000,9.882872,9.882872,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,8,24013187,9.627011,0.000000,10.054071,0.000000,10.031737,10.031737,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,9,24013187,9.818059,0.000000,9.753951,0.000000,9.732069,9.732069,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,10,24013187,9.951451,0.000000,9.868865,0.000000,9.846926,9.846926,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,11,24013187,9.647497,0.000000,10.077655,0.000000,10.055531,10.055531,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,12,24013187,9.759084,0.000000,9.769788,0.000000,9.750887,9.750887,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,13,24013187,9.939504,0.000000,9.952394,0.000000,9.928168,9.928168,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,14,24013187,9.652456,0.000000,10.055827,0.000000,10.036719,10.036719,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,15,24013187,9.738406,0.000000,9.698725,0.000000,9.677102,9.677102,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,16,24013187,9.949499,0.000000,9.940401,0.000000,9.918714,9.918714,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,17,24013187,9.709943,0.000000,10.086980,0.000000,10.063358,10.063358,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,18,24013187,9.767836,0.000000,9.696025,0.000000,9.675650,9.675650,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,19,24013187,10.063592,0.000000,9.853198,0.000000,9.831764,9.831764,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,20,24013187,9.638381,0.000000,10.053408,0.000000,10.032880,10.032880,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,21,24013187,9.773642,0.000000,9.678827,0.000000,9.656811,9.656811,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,22,24013187,9.968528,0.000000,9.863842,0.000000,9.842948,9.842948,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,23,24013187,9.604434,0.000000,10.011385,0.000000,9.990254,9.990254,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,24,24013187,9.814754,0.000000,9.704569,0.000000,9.683498,9.683498,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,25,24013187,9.980848,0.000000,9.845377,0.000000,9.824416,9.824416,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,26,24013187,9.588372,0.000000,10.067796,0.000000,10.047960,10.047960,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,27,24013187,9.696850,0.000000,9.706979,0.000000,9.684971,9.684971,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,28,24013187,9.950788,0.000000,9.862924,0.000000,9.841988,9.841988,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,29,24013187,9.617388,0.000000,10.084938,0.000000,10.062659,10.062659,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,30,24013187,9.747769,0.000000,9.707795,0.000000,9.687301,9.687301,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
resnet50,65536,31,24013187,9.935360,0.000000,9.818720,0.000000,9.797723,9.797723,current envelope pack/parse is Python wrapper code; no C++ envelope API exists
