model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status
resnet18,16384,1,official,0,2,yes,yes,15.301456,11.609481,26.910936,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279262,3.966058,3.800295,1.043619,0.000510836,0.020197913,1.000000000,pass,pass
resnet18,16384,2,official,0,1,yes,yes,15.497104,11.827406,27.324510,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass
resnet18,16384,3,official,0,2,yes,yes,15.326580,11.763978,27.090558,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279262,3.966058,3.800295,1.043619,0.000510836,0.020197913,1.000000000,pass,pass
resnet18,16384,4,official,0,1,yes,yes,15.479852,11.756882,27.236735,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass
resnet18,8192,0,official,0,1,yes,yes,14.486768,11.222742,25.709511,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass
resnet18,8192,1,official,0,2,yes,yes,14.326396,11.213837,25.540234,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274418,3.967762,3.800295,1.044067,0.000510836,0.020201929,1.000000000,pass,pass
resnet18,8192,2,official,0,1,yes,yes,14.457694,11.282114,25.739809,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass
resnet18,8192,3,official,0,2,yes,yes,14.333013,11.110823,25.443835,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274418,3.967762,3.800295,1.044067,0.000510836,0.020201929,1.000000000,pass,pass
resnet18,8192,4,official,0,1,yes,yes,14.454187,11.302988,25.757175,42.661865,19,82,42.562500,0.099365,587237.053,38,19,11157504,11274993,3.967560,3.815618,1.039821,0.004201446,0.020181853,1.000000000,pass,pass
resnet18,4096,0,official,0,1,yes,yes,13.215063,10.705609,23.920672,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
resnet18,4096,1,official,0,2,yes,yes,13.249430,10.835391,24.084820,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass
resnet18,4096,2,official,0,1,yes,yes,13.281822,10.806462,24.088284,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
resnet18,4096,3,official,0,2,yes,yes,13.248115,10.718688,23.966803,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass
resnet18,4096,4,official,0,1,yes,yes,13.358662,10.848942,24.207604,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
resnet18,2048,0,official,0,1,yes,yes,13.506449,10.817863,24.324312,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
resnet18,2048,1,official,0,2,yes,yes,13.360724,10.752737,24.113460,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass
resnet18,2048,2,official,0,1,yes,yes,13.509209,10.872929,24.382139,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
resnet18,2048,3,official,0,2,yes,yes,13.296572,10.833182,24.129754,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269448,3.969512,3.800295,1.044527,0.000510836,0.020204024,1.000000000,pass,pass
resnet18,2048,4,official,0,1,yes,yes,13.415045,10.953930,24.368975,42.661865,20,81,42.582031,0.079834,558131.200,40,20,11162624,11269864,3.969365,3.815618,1.040294,0.004201446,0.020185133,1.000000000,pass,pass
