model,threshold,sample_index,timing_kind,warmup_round,measured_round,warmup_excluded,fresh_state,compress_ms,decompress_ms,closed_loop_ms,original_mb,cuda_layers,fallback_layers,cuda_mb,fallback_mb,avg_numel_per_cuda_layer,kernel_launch_count,decode_kernel_launch_count,payload_blob_bytes,final_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,finite_rate,decode_status,correctness_status,encode_kernel_ms,decode_kernel_ms,payload_d2h_ms,payload_h2d_ms,envelope_serialize_ms,envelope_parse_ms,cpu_fallback_ms,cpu_fallback_decode_ms,fallback_gpu_to_cpu_ms,decoded_tensor_alloc_ms,clone_count,clone_bytes,clone_ms,cudaMalloc_count,cudaFree_count,state_pointer_swap_possible,unaccounted_wrapper_ms
resnet50,4096,2,diagnostic,0,1,yes,yes,33.166785,34.412905,67.579689,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23940219,3.938803,3.756542,1.048518,0.000522981,0.019804634,1.000000000,pass,pass,2.217230,0.423496,1.802913,3.193506,9.601338,19.287036,12.724144,10.102516,5.091350,0.103994,53,93863936,0.737154,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.295013
resnet50,4096,3,diagnostic,0,2,yes,yes,33.019349,34.134977,67.154326,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23941002,3.938674,3.763677,1.046496,0.000522209,0.019873722,1.000000000,pass,pass,2.206900,0.425609,1.791643,3.113671,9.589077,19.101315,12.604384,10.108991,5.116934,0.110346,53,93863936,0.725741,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.259716
resnet50,4096,4,diagnostic,0,1,yes,yes,33.263090,34.198417,67.461507,89.927490,53,213,89.515625,0.411865,442754.415,106,53,23465984,23940219,3.938803,3.756542,1.048518,0.000522981,0.019804634,1.000000000,pass,pass,2.233830,0.422931,1.790063,3.218619,9.646134,19.282925,12.767546,9.862962,5.101308,0.106423,53,93863936,0.712969,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.315796
resnet50,2048,0,diagnostic,0,1,yes,yes,32.257900,35.209433,67.467333,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,2.813170,0.483515,1.798868,3.291657,9.880091,19.818691,10.630937,9.707940,5.139759,0.156824,69,93995008,0.873419,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.872463
resnet50,2048,1,diagnostic,0,2,yes,yes,30.170958,33.380737,63.551695,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass,2.693458,0.462081,1.799276,3.151329,9.621523,19.211358,9.545299,8.861503,4.701187,0.131231,69,93995008,0.824721,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.548729
resnet50,2048,2,diagnostic,0,1,yes,yes,29.980223,33.212298,63.192520,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,2.756069,0.461925,1.792272,3.175086,9.588462,19.260359,9.451728,8.544193,4.607832,0.130272,69,93995008,0.835161,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.589161
resnet50,2048,3,diagnostic,0,2,yes,yes,30.208355,33.332587,63.540942,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23852523,3.953284,3.763677,1.050378,0.000522209,0.019875597,1.000000000,pass,pass,2.662460,0.467945,1.792257,3.180387,9.657638,19.331922,9.641436,8.639652,4.672034,0.135161,69,93995008,0.864874,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.495177
resnet50,2048,4,diagnostic,0,1,yes,yes,29.954874,33.258406,63.213280,89.927490,69,197,89.640625,0.286865,340561.623,138,69,23498752,23853000,3.953205,3.756542,1.052352,0.000522981,0.019806366,1.000000000,pass,pass,2.647071,0.466119,1.792926,3.123475,9.588954,19.243235,9.467775,8.730998,4.687196,0.136792,69,93995008,0.845624,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,2.483116
resnet18,262144,0,diagnostic,0,1,yes,yes,48.113553,39.472259,87.585812,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass,0.614599,0.156485,0.792655,1.494001,4.507548,4.785699,38.239725,32.564459,3.067446,0.026332,8,41287680,0.219373,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.117489
resnet18,262144,1,diagnostic,0,2,yes,yes,48.126969,39.754372,87.881342,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11383692,3.929675,3.800295,1.034045,0.006627977,0.019667389,1.000000000,pass,pass,0.612525,0.152355,0.793038,1.495616,4.540156,4.832780,38.238293,32.759916,3.052850,0.025330,8,41287680,0.222344,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.156139
resnet18,262144,2,diagnostic,0,1,yes,yes,48.386002,39.607377,87.993379,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass,0.617294,0.155631,0.792225,1.517616,4.480756,4.722917,38.501070,32.698347,3.087071,0.028195,8,41287680,0.228202,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.164055
resnet18,262144,3,diagnostic,0,2,yes,yes,48.157486,39.366625,87.524111,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11383692,3.929675,3.800295,1.034045,0.006627977,0.019667389,1.000000000,pass,pass,0.609548,0.152826,0.792023,1.511069,4.516955,4.835862,38.251863,32.393271,3.089820,0.026213,8,41287680,0.228602,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.116061
resnet18,262144,4,diagnostic,0,1,yes,yes,49.556546,40.167109,89.723655,42.661865,8,93,39.375000,3.286865,1290240.000,16,8,10321920,11378606,3.931431,3.815618,1.030353,0.008458793,0.019640192,1.000000000,pass,pass,0.623011,0.157792,0.792444,1.528892,4.594421,4.806184,39.473676,33.153960,3.123083,0.029346,8,41287680,0.226266,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.214580
resnet18,65536,0,diagnostic,0,1,yes,yes,25.579214,18.687333,44.266547,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass,0.782395,0.175806,0.847844,1.587632,4.854839,4.711487,15.893794,11.688393,2.324483,0.035419,13,43876352,0.292837,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.071618
resnet18,65536,1,diagnostic,0,2,yes,yes,25.359826,19.270670,44.630496,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11318833,3.952193,3.800295,1.039970,0.005753480,0.020093651,1.000000000,pass,pass,0.766801,0.172971,0.842235,1.609678,4.843933,4.746087,15.738809,12.214865,2.284965,0.035415,13,43876352,0.277802,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.096935
resnet18,65536,2,diagnostic,0,1,yes,yes,25.422344,18.876301,44.298645,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass,0.784523,0.174380,0.841275,1.558313,4.832453,4.745670,15.811004,11.863728,2.277253,0.035888,13,43876352,0.286908,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.087250
resnet18,65536,3,diagnostic,0,2,yes,yes,25.424642,19.307743,44.732384,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11318833,3.952193,3.800295,1.039970,0.005753480,0.020093651,1.000000000,pass,pass,0.774238,0.175505,0.841908,1.589873,4.882200,4.717942,15.746826,12.294131,2.285616,0.033839,13,43876352,0.276365,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.113941
resnet18,65536,4,diagnostic,0,1,yes,yes,25.170354,19.019575,44.189929,42.661865,13,88,41.843750,0.818115,843776.000,26,13,10969088,11317506,3.952656,3.815618,1.035915,0.004201446,0.020071581,1.000000000,pass,pass,0.773746,0.176732,0.852961,1.605956,4.825845,4.714508,15.592721,12.019131,2.311157,0.036610,13,43876352,0.283292,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,0.997270
resnet18,16384,0,diagnostic,0,1,yes,yes,16.503379,11.986464,28.489843,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass,0.913271,0.189657,0.861332,1.578154,4.960877,4.798197,6.506639,4.849097,2.417506,0.041141,18,44597248,0.330062,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.043911
resnet18,16384,1,diagnostic,0,2,yes,yes,15.859761,12.188447,28.048208,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279262,3.966058,3.800295,1.043619,0.000510836,0.020197913,1.000000000,pass,pass,0.918338,0.190580,0.856007,1.580774,4.759567,4.803669,6.402482,5.035751,2.105466,0.042920,18,44597248,0.338261,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.014393
resnet18,16384,2,diagnostic,0,1,yes,yes,15.620624,13.150066,28.770690,42.661865,18,83,42.531250,0.130615,619406.222,36,18,11149312,11279997,3.965800,3.815618,1.039360,0.004201446,0.020177707,1.000000000,pass,pass,0.896428,0.191171,0.855236,1.590914,4.768749,4.814071,6.249194,5.940371,2.064006,0.042010,18,44597248,0.343741,not_available_from_torch_allocator,not_available_from_torch_allocator,yes_with_double_buffered_transaction_commit,1.014799
