model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet50,1,hot,524288,adaptive_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,511.931289,746.096187,1258.027476,1139.966941,839.976347,1979.943288,2.226797,1.573847,0.386507,1.871167,,3.612258,85,34,237.872444,8.734585,583.174023,4.596443,0.034307,244.834431,161.164455,11.940458,1,5336597,13.593750,19622208,25101758,4.805566,3.756542,1.279252,0.008403894,0.060555745,1.000000000,0.980372727,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,524288,adaptive_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,487.294306,709.215149,1196.509455,1315.422707,842.469104,2157.891811,2.699442,1.803489,0.406048,1.965771,,3.748083,85,34,230.573384,10.060085,555.064538,4.627053,0.039288,225.807396,152.468321,12.170312,1,5329632,13.593750,19615243,25054171,4.807272,3.763677,1.277281,0.005301053,0.083862141,0.999079168,0.975146294,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,524288,outlier_q6_q8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,204.263331,150.646247,354.909578,742.203127,670.256213,1412.459340,3.633560,3.979772,0.968676,4.689579,,2.733018,85,34,6.455260,13.048721,14.477279,2.549203,0.001121,167.162757,135.221889,12.155841,1,5257941,18.125000,24294905,24561786,3.881300,3.839127,1.010985,0.000225247,0.011045524,1.000000000,0.986281991,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,1,hot,524288,outlier_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,559.630111,769.693047,1329.323158,1139.966941,839.976347,1979.943288,2.037001,1.489437,0.353564,1.711682,,3.668417,85,34,237.961778,18.635550,599.951147,5.236833,0.080639,281.158233,167.930027,12.405375,1,5336597,13.593750,19622207,25101758,4.805566,3.756542,1.279253,0.008403894,0.060555745,1.000000000,0.980372727,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,524288,outlier_q6_q8,6,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,17,249,72.500000,17.427490,542.691379,747.497020,1290.188399,1315.422707,842.469104,2157.891811,2.423887,1.672540,0.364599,1.765108,,3.726784,85,34,233.158944,16.841982,586.173631,4.785395,0.061352,271.636437,159.493740,12.098123,1,5329632,13.593750,19615242,25054171,4.807272,3.763677,1.277281,0.005301053,0.083862141,0.999079168,0.975146294,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,0,round0,1048576,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,425.914788,9,257,55.000000,34.927490,342.250501,289.988483,632.238984,742.203127,670.256213,1412.459340,2.168596,2.234059,0.578129,2.798853,1.244453,1.686030,45,18,4.891346,13.717760,12.103826,2.245216,0.001535,301.469993,277.126778,18.091236,1,10007848,13.750000,24456615,24561786,3.855636,3.839127,1.004300,0.000225247,0.010193827,1.000000000,0.988893986,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,1,hot,1048576,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,425.914788,9,257,55.000000,34.927490,470.740606,351.255375,821.995981,1139.966941,839.976347,1979.943288,2.421646,2.408702,0.420327,2.034898,0.904776,1.546097,45,18,4.614403,12.576235,12.213035,2.442689,0.025321,431.876177,337.867392,17.346680,1,10151622,13.750000,24600395,25101758,3.833101,3.756542,1.020380,0.008403894,0.016308028,1.000000000,0.995081186,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,2,hot,1048576,8,8,gpu_v3_experimental,8,89.927490,957.909000,197.865000,425.914788,9,257,55.000000,34.927490,438.230010,345.531729,783.761739,1315.422707,842.469104,2157.891811,3.001672,2.753250,0.451509,2.185859,0.971898,1.613342,45,18,4.724362,7.768243,12.089717,2.532751,0.026589,404.434000,332.273543,16.842189,1,10135092,13.750000,24583865,25054171,3.835679,3.763677,1.019131,0.005301053,0.020446373,1.000000000,0.994183064,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,0,round0,1048576,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,9,257,55.000000,34.927490,526.436541,747.853975,1274.290516,742.203127,670.256213,1412.459340,1.409862,1.108428,0.375857,1.819610,,2.588592,45,18,189.403581,11.130174,472.104425,3.387807,0.001458,302.009667,274.765296,17.755809,1,10007848,12.031250,22654375,24561786,4.162366,3.839127,1.084196,0.000454070,0.019740503,1.000000000,0.978356421,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet50,1,hot,1048576,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,9,257,55.000000,34.927490,648.595626,831.447097,1480.042723,1139.966941,839.976347,1979.943288,1.757593,1.337761,0.305067,1.476897,,2.435580,45,18,189.909107,9.347938,486.263853,3.828811,0.026003,425.080799,343.816631,17.659212,1,10151622,12.031250,22798155,25101758,4.136116,3.756542,1.101043,0.008403894,0.032353960,1.000000000,0.990564406,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet50,2,hot,1048576,7,7,gpu_v3_experimental,8,89.927490,957.909000,197.865000,,9,257,55.000000,34.927490,644.848529,835.245724,1480.094253,1315.422707,842.469104,2157.891811,2.039894,1.457942,0.306839,1.485479,,2.519942,45,18,190.526544,8.615111,499.587089,4.004146,0.025289,421.547184,334.271898,17.322374,1,10135092,12.031250,22781625,25054171,4.139117,3.763677,1.099753,0.005301053,0.040784609,1.000000000,0.988990545,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
