model,round_index,round_type,threshold,quant_mode,quant_bits,mode,cpu_threads,original_mb,official_serial_c_compress_ms,official_cpu_grouped_8t_compress_ms,cuda_v2_reference_compress_ms,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_wrapper_compress_ms,cpu_wrapper_decompress_ms,cpu_wrapper_roundtrip_ms,speedup_vs_cpu_wrapper,roundtrip_speedup_vs_cpu_wrapper,speedup_vs_official_cpu_8t,speedup_vs_official_serial_c,speedup_vs_cuda_v2,kernel_ms,kernel_launch_count,decompress_kernel_launch_count,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,python_wrapper_ms,state_commit_ms,cpu_fallback_ms,cpu_fallback_decompress_ms,fallback_gpu_to_cpu_ms,cpu_fallback_batches,cpu_fallback_payload_bytes,experimental_payload_d2h_mb,final_payload_bytes,cpu_wrapper_payload_bytes,compression_ratio,cpu_wrapper_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification,target_status
resnet18,2,hot,524288,8,8,gpu_v3_experimental,8,42.661865,340.294000,122.189000,82.571127,7,94,38.250000,4.411865,66.130784,49.208369,115.339153,386.909902,380.007937,766.917839,5.850678,6.649241,1.847687,5.145773,1.248603,1.328041,35,14,3.143054,6.120939,7.073442,1.305203,0.018005,50.343670,41.557841,3.705649,1,1376589,9.562500,11415838,11771247,3.918609,3.800295,1.031133,0.006449129,0.024871517,1.000000000,0.992231071,1.000000000,pass,pass,strong_success,research_record
resnet18,0,round0,524288,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,179.188955,342.309028,521.497983,313.485022,303.836022,617.321043,1.749466,1.183746,0.681900,1.899079,,1.607469,35,14,124.153086,5.308948,304.474883,1.573759,0.000733,42.410243,37.267482,4.020571,1,1361326,8.367188,10147193,11635857,4.408530,3.844513,1.146707,0.000426029,0.021985486,1.000000000,0.971189141,1.000000000,pass,pass,stop_speed_failed,stop_speed_failed
resnet18,1,hot,524288,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,188.166928,350.675438,538.842366,403.029788,407.150088,810.179876,2.141874,1.503556,0.649365,1.808469,,1.518866,35,14,122.977093,5.350029,305.010794,1.851933,0.019456,52.229674,44.906973,4.033894,1,1369487,8.367188,10155360,11723976,4.404985,3.815618,1.154462,0.008458793,0.039064061,0.999802947,0.986716568,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,524288,7,7,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,186.059100,348.043654,534.102754,386.909902,380.007937,766.917839,2.079500,1.435899,0.656721,1.828957,,1.473141,35,14,122.899778,5.313325,304.776441,1.798512,0.017147,50.350708,42.537551,4.030510,1,1376589,8.367188,10162462,11771247,4.401907,3.800295,1.158307,0.006449129,0.050064813,0.999560058,0.984439492,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,524288,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,173.114179,319.861623,492.975801,313.485022,303.836022,617.321043,1.810857,1.252234,0.705829,1.965720,,1.530822,35,14,119.161307,4.595686,281.757198,1.466229,0.000656,42.250790,37.541868,4.001454,1,1361326,7.171875,8893817,11635857,5.029810,3.844513,1.308309,0.000865802,0.044586368,0.999132276,0.941753566,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,1,hot,524288,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,184.177365,327.999547,512.176912,403.029788,407.150088,810.179876,2.188270,1.581836,0.663431,1.847643,,1.397633,35,14,119.294873,4.792333,282.416081,1.778163,0.019788,52.713427,44.838269,3.993287,1,1369487,7.171875,8901984,11723976,5.025195,3.815618,1.317007,0.008458793,0.079329133,0.998167932,0.971681356,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,524288,6,6,gpu_v3_experimental,8,42.661865,340.294000,122.189000,,7,94,38.250000,4.411865,182.799432,327.926113,510.725546,386.909902,380.007937,766.917839,2.116582,1.501624,0.668432,1.861570,,1.418770,35,14,120.342386,4.515595,283.946770,1.739968,0.021541,50.569992,43.269154,4.009428,1,1376589,7.171875,8909086,11771247,5.021189,3.800295,1.321263,0.006449129,0.101672396,0.995710611,0.968494892,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,0,round0,524288,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,94.851062,7,94,38.250000,4.411865,65.379696,51.817865,117.197561,313.485022,303.836022,617.321043,4.794838,5.267354,1.868914,5.204888,1.450772,1.331053,35,14,14.064838,3.047334,14.813467,1.125737,0.001092,41.932954,36.601829,3.771458,1,1361326,4.781250,6387065,11635857,7.003875,3.844513,1.821785,0.003834258,0.197351158,0.981110990,0.747588336,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,1,hot,524288,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,94.851062,7,94,38.250000,4.411865,75.886169,60.512542,136.398711,403.029788,407.150088,810.179876,5.310978,5.939791,1.610162,4.484269,1.249912,1.291367,35,14,13.818794,3.283830,15.602210,1.341484,0.018784,52.203708,44.312387,3.735601,1,1369487,4.781250,6395232,11723976,6.994931,3.815618,1.833237,0.009607933,0.351305455,0.943733394,0.839610517,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
resnet18,2,hot,524288,4,4,gpu_v3_experimental,8,42.661865,340.294000,122.189000,94.851062,7,94,38.250000,4.411865,74.303214,60.841504,135.144717,386.909902,380.007937,766.917839,5.207176,5.674790,1.644465,4.579802,1.276541,1.266822,35,14,14.045119,3.121405,15.763209,1.317489,0.019959,50.591583,44.470214,3.765681,1,1376589,4.781250,6402334,11771247,6.987172,3.800295,1.838587,0.014850896,0.450267404,0.911988676,0.849987984,1.000000000,pass,fail,stop_correctness_failed,stop_correctness_failed
